instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_label,weather_label,weekday_name,year_label,temp_c,hum_pct
74,2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,Spring,Berkabut,Rabu,2011,13.013031,65.5652
75,2011-03-16,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,Spring,Berkabut,Kamis,2011,14.973897000000001,77.65220000000001
76,2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,Spring,Cerah/Berawan,Jumat,2011,17.015,60.291700000000006
77,2011-03-18,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,Spring,Cerah/Berawan,Sabtu,2011,22.14,52.5217
78,2011-03-19,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,Spring,Cerah/Berawan,Minggu,2011,19.3725,37.9167
79,2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,Spring,Cerah/Berawan,Senin,2011,13.6325,47.375
80,2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,Summer,Berkabut,Selasa,2011,17.647835,73.73910000000001
81,2011-03-22,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,Summer,Cerah/Berawan,Rabu,2011,18.108347,62.4583
82,2011-03-23,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,Summer,Berkabut,Kamis,2011,14.225237,83.9565
83,2011-03-24,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,Summer,Berkabut,Jumat,2011,11.684999999999999,80.58330000000001
84,2011-03-25,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,Summer,Cerah/Berawan,Sabtu,2011,10.830846999999999,49.5
85,2011-03-26,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,Summer,Cerah/Berawan,Minggu,2011,10.899153,39.4167
86,2011-03-27,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,Summer,Berkabut,Senin,2011,10.374763000000002,49.3913
87,2011-03-28,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,Summer,Cerah/Berawan,Selasa,2011,10.838268000000001,30.2174
88,2011-03-29,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,Summer,Cerah/Berawan,Rabu,2011,12.4025,31.4167
89,2011-03-30,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,Summer,Berkabut,Kamis,2011,12.299999999999999,64.6667
90,2011-03-31,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,Summer,Hujan Ringan/Salju,Jumat,2011,11.001653,91.8333
91,2011-04-01,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,Summer,Berkabut,Sabtu,2011,12.299999999999999,68.625
92,2011-04-02,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,Summer,Berkabut,Minggu,2011,12.915000000000001,65.375
93,2011-04-03,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,Summer,Cerah/Berawan,Senin,2011,15.511652999999999,48.0
94,2011-04-04,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,Summer,Cerah/Berawan,Selasa,2011,23.506653,42.625
95,2011-04-05,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,Summer,Berkabut,Rabu,2011,16.980847,64.2083
96,2011-04-06,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,Summer,Cerah/Berawan,Kamis,2011,16.024153,47.0833
97,2011-04-07,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,Summer,Cerah/Berawan,Jumat,2011,17.9375,60.291700000000006
98,2011-04-08,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,Summer,Berkabut,Sabtu,2011,13.769153,83.625
99,2011-04-09,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,Summer,Berkabut,Minggu,2011,14.0425,87.75
100,2011-04-10,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,Summer,Berkabut,Senin,2011,17.493347,85.75
101,2011-04-11,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,Summer,Berkabut,Selasa,2011,24.421732,71.6956
102,2011-04-12,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,Summer,Berkabut,Rabu,2011,20.6025,73.9167
103,2011-04-13,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,Summer,Berkabut,Kamis,2011,16.912499999999998,81.91669999999999
104,2011-04-14,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,Summer,Cerah/Berawan,Jumat,2011,19.1675,54.041700000000006
105,2011-04-15,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,Summer,Cerah/Berawan,Sabtu,2011,18.313347,67.125
106,2011-04-16,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,Summer,Hujan Ringan/Salju,Minggu,2011,17.664153000000002,88.83330000000001
107,2011-04-17,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,Summer,Cerah/Berawan,Senin,2011,18.723347,47.9583
108,2011-04-18,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,Summer,Cerah/Berawan,Selasa,2011,21.0125,54.25
109,2011-04-19,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,Summer,Berkabut,Rabu,2011,20.739152999999998,66.5833
110,2011-04-20,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,Summer,Cerah/Berawan,Kamis,2011,24.395,61.4167
111,2011-04-21,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,Summer,Cerah/Berawan,Jumat,2011,18.825847,40.708299999999994
112,2011-04-22,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,Summer,Berkabut,Sabtu,2011,13.803347,72.9583
113,2011-04-23,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,Summer,Berkabut,Minggu,2011,18.86,88.79169999999999
114,2011-04-24,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,Summer,Berkabut,Senin,2011,23.848347,81.08330000000001
115,2011-04-25,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,Summer,Cerah/Berawan,Selasa,2011,24.873347,77.6667
116,2011-04-26,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,Summer,Cerah/Berawan,Rabu,2011,25.898346999999998,72.9167
117,2011-04-27,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,Summer,Berkabut,Kamis,2011,25.419999999999998,83.54169999999999
118,2011-04-28,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,Summer,Berkabut,Jumat,2011,25.317500000000003,70.08330000000001
119,2011-04-29,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,Summer,Cerah/Berawan,Sabtu,2011,20.91,45.7083
120,2011-04-30,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,Summer,Cerah/Berawan,Minggu,2011,19.3725,50.3333
121,2011-05-01,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,Summer,Berkabut,Senin,2011,18.518347,76.2083
122,2011-05-02,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,Summer,Berkabut,Selasa,2011,22.515846999999997,73.0
123,2011-05-03,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,Summer,Berkabut,Rabu,2011,25.283347,69.7083
124,2011-05-04,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,Summer,Berkabut,Kamis,2011,16.980847,73.70830000000001
125,2011-05-05,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,Summer,Cerah/Berawan,Jumat,2011,18.825847,44.4167
126,2011-05-06,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,Summer,Cerah/Berawan,Sabtu,2011,19.645847,59.0
127,2011-05-07,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,Summer,Cerah/Berawan,Minggu,2011,21.32,54.125
128,2011-05-08,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,Summer,Cerah/Berawan,Senin,2011,21.661653,63.1667
129,2011-05-09,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,Summer,Cerah/Berawan,Selasa,2011,21.8325,58.875
130,2011-05-10,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,Summer,Cerah/Berawan,Rabu,2011,21.8325,48.9167
131,2011-05-11,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182,Summer,Cerah/Berawan,Kamis,2011,22.2425,63.29169999999999
132,2011-05-12,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,Summer,Cerah/Berawan,Jumat,2011,21.935000000000002,74.75
133,2011-05-13,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,Summer,Berkabut,Sabtu,2011,21.0125,86.33330000000001
134,2011-05-14,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,Summer,Berkabut,Minggu,2011,21.354153,92.25
135,2011-05-15,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,Summer,Berkabut,Senin,2011,23.0625,86.70830000000001
136,2011-05-16,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,Summer,Cerah/Berawan,Selasa,2011,23.677500000000002,78.79169999999999
137,2011-05-17,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,Summer,Berkabut,Rabu,2011,23.028347,83.7917
138,2011-05-18,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,536,3319,3855,Summer,Berkabut,Kamis,2011,22.55,87.0
139,2011-05-19,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575,Summer,Berkabut,Jumat,2011,21.764153,82.9583
140,2011-05-20,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917,Summer,Cerah/Berawan,Sabtu,2011,22.003347,71.9583
141,2011-05-21,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,Summer,Cerah/Berawan,Minggu,2011,24.7025,62.6667
142,2011-05-22,2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,Summer,Cerah/Berawan,Senin,2011,24.770847,74.9583
143,2011-05-23,2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836,3438,4274,Summer,Berkabut,Selasa,2011,25.898346999999998,81.0
144,2011-05-24,2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659,3833,4492,Summer,Berkabut,Rabu,2011,27.060000000000002,74.0833
145,2011-05-25,2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740,4238,4978,Summer,Cerah/Berawan,Kamis,2011,27.094153,69.625
146,2011-05-26,2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677,Summer,Cerah/Berawan,Jumat,2011,29.041653,67.75
147,2011-05-27,2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679,Summer,Cerah/Berawan,Sabtu,2011,27.948347000000002,65.375
148,2011-05-28,2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,Summer,Cerah/Berawan,Minggu,2011,26.889153,72.9583
149,2011-05-29,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,Summer,Cerah/Berawan,Senin,2011,27.3675,81.875
150,2011-05-30,2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098,Summer,Cerah/Berawan,Selasa,2011,30.066653000000002,68.5
151,2011-05-31,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673,3309,3982,Summer,Cerah/Berawan,Rabu,2011,31.775000000000002,63.6667
152,2011-06-01,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974,Summer,Berkabut,Kamis,2011,31.330847000000002,67.7083
153,2011-06-02,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736,4232,4968,Summer,Cerah/Berawan,Jumat,2011,29.314999999999998,30.5
154,2011-06-03,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312,Summer,Cerah/Berawan,Sabtu,2011,25.419999999999998,35.4167
155,2011-06-04,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342,Summer,Cerah/Berawan,Minggu,2011,26.035,45.625
156,2011-06-05,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,Summer,Berkabut,Senin,2011,26.581653000000003,65.25
157,2011-06-06,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,3875,4548,Summer,Cerah/Berawan,Selasa,2011,27.811653,60.0
158,2011-06-07,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833,Summer,Cerah/Berawan,Rabu,2011,29.0075,59.791700000000006
159,2011-06-08,2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676,3725,4401,Summer,Cerah/Berawan,Kamis,2011,31.809153,62.20830000000001
160,2011-06-09,2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563,3352,3915,Summer,Berkabut,Jumat,2011,33.141653,56.833299999999994
161,2011-06-10,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,815,3771,4586,Summer,Cerah/Berawan,Sabtu,2011,30.955000000000002,60.5
162,2011-06-11,2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729,3237,4966,Summer,Cerah/Berawan,Minggu,2011,29.724999999999998,65.45830000000001
163,2011-06-12,2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,Summer,Cerah/Berawan,Senin,2011,28.392500000000002,74.7917
164,2011-06-13,2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,863,4157,5020,Summer,Cerah/Berawan,Selasa,2011,26.035,49.4583
165,2011-06-14,2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727,4164,4891,Summer,Cerah/Berawan,Rabu,2011,24.770847,50.708299999999994
166,2011-06-15,2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769,4411,5180,Summer,Cerah/Berawan,Kamis,2011,25.693347,47.1667
167,2011-06-16,2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545,3222,3767,Summer,Berkabut,Jumat,2011,25.761653000000003,68.8333
